2-Metilbutano,115.6,118.4,14.0,27.852,5.9333,1029.602,38.856,0
Pentano,115.3,118.4,14.5,36.068,5.99028,1071.187,40.384,1
2-Metilpentano,131.7,140.6,14.4,60.271,5.99479,1152.21,44.579,2
3-Metilpentano,131.7,140.6,14.4,63.282,5.99139,1162.069,44.87,3
Hexano,131.4,140.6,14.9,68.74,6.01098,1176.102,48.251,4
Heptano,147.5,162.8,15.2,98.423,6.02701,1267.592,56.354,5
"2,3-Dimetilpentano",148.1,162.8,14.4,89.783,5.98293,1240.404,51.056,6
Octano,163.6,185.0,15.5,125.665,6.04394,1351.938,64.03,7
"2,2,4-Trimetilpentano",163.4,185.0,14.3,99.238,5.92751,1252.34,53.06,8
Ciclohexano,112.6,118.2,16.5,80.731,6.00569,1223.273,48.061,9
Benceno,90.4,96.0,18.8,80.09,6.01905,1204.637,53.081,10
Tolueno,104.9,118.2,18.7,110.622,6.08436,1347.62,53.363,11
Dietil eter,103.0,106.1,14.8,34.434,6.0492,1061.391,45.09,12
Metil-t-butil eter,118.6,129.4,14.1,55.17,6.070343,1158.912,43.2,13
Etil-t-butil eter,134.7,151.6,14.6,72.71,6.073724,1206.874,49.19,14
t-Amil metil eter,134.7,151.6,14.6,86.24,6.067822,1256.258,50.1,15
Diisopropil eter,135.8,151.6,14.6,68.339,5.97081,1137.408,54.634,16
Dibutil eter,167.4,196.0,15.9,140.295,5.92274,1298.256,82.006,17
Acetona,74.0,77.6,18.6,56.067,6.25017,1214.208,43.148,18
Metil etil cetona,93.9,96.2,18.4,79.583,6.18397,1258.94,51.425,19
Dietil cetona,110.0,118.4,18.3,101.96,6.1457,1307.941,59.182,20
Metil propil cetona,110.0,118.4,18.3,102.261,6.13931,1309.629,58.585,21
Metil isopropil cetona,110.3,118.4,17.8,94.333,6.09024,1265.595,57.631,22
Metil isobutil cetona,126.4,140.6,17.8,116.183,5.81291,1176.833,80.225,23
Metanol,40.7,42.8,28.2,64.511,7.24693,1605.615,31.317,24
Etanol,59.6,62.5,25.7,78.229,7.24222,1595.811,46.702,25
1-Propanol,75.7,81.4,24.2,97.153,6.87065,1438.587,74.598,26
2-Propanol,76.0,81.4,23.7,82.244,6.86634,1360.183,75.557,27
1-Butanol,91.8,103.6,23.2,117.731,6.54068,1335.028,96.496,28
2-Butanol,92.1,103.6,22.7,99.515,6.35079,1169.924,103.413,29
Agua,18.1,18.8,47.9,100.001,7.06252,1650.27,46.804,30
